prices.amountMax,prices.amountMin,Disponibilidad,Estado,prices.isSale,Tienda Precio,Envios,Categoria Principal,secondary category
348.99,348.99,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,Computer and accessories,Computer
349.99,349.99,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,Computer and accessories,Computer
22.99,22.99,In Stock,New,0,bestbuy,Free Standard Shipping,Phones and accessories,Phones and accessories
14.84,14.84,In Stock,New,0,ebay,Free Standard Shipping,Phones and accessories,Phones and accessories
17.99,17.99,In Stock,New,0,bestbuy,Free Standard Shipping,Phones and accessories,Phones and accessories
49.0,49.0,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,Wireless Tech,Wireless Tech
34.99,34.99,In Stock,New,1,bhphotovideo,Minimum Order Free Shipping,Wireless Tech,Wireless Tech
62.99,62.99,In Stock,New,0,bestbuy,Minimum Order Free Shipping,Wireless Tech,Wireless Tech
44.99,44.99,In Stock,New,0,bestbuy,Minimum Order Free Shipping,Wireless Tech,Wireless Tech
80.74,80.74,In Stock,New,0,walmart,Free Expedited Shipping,Wireless Tech,Wireless Tech
49.99,49.99,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,Wireless Tech,Wireless Tech
29.99,29.99,In Stock,New,0,bestbuy,Minimum Order Free Shipping,Wireless Tech,Wireless Tech
59.99,59.99,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,Wireless Tech,Wireless Tech
449.99,449.99,In Stock,New,0,bestbuy,Minimum Order Free Shipping,Audio and accessories,Audio
449.99,449.99,In Stock,New,0,bestbuy,Minimum Order Free Shipping,Audio and accessories,Audio
21.99,21.99,In Stock,New,0,bestbuy,Free Standard Shipping,TV and accessories,TV and accessories
32.0,32.0,In Stock,New,0,walmart,Free Expedited Shipping,TV and accessories,TV and accessories
21.99,21.99,Out of Stock,New,0,bestbuy,Free Standard Shipping,TV and accessories,TV and accessories
17.85,17.85,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,TV and accessories,TV and accessories
46.69,46.69,In Stock,New,0,walmart,Free Expedited Shipping,Audio and accessories,Audio
54.86,47.99,In Stock,New,1,walmart,Free Expedited Shipping,Audio and accessories,Audio
52.52,52.52,In Stock,New,0,walmart,Free Expedited Shipping,Audio and accessories,Audio
55.97,48.01,In Stock,New,1,walmart,Free Expedited Shipping,Audio and accessories,Audio
55.31,55.31,In Stock,New,0,ebay,Free Standard Shipping,Audio and accessories,Audio
219.99,57.93,In Stock,New,1,walmart,Free Standard Shipping,Audio and accessories,Audio
69.99,69.99,In Stock,New,1,bestbuy,Free Standard Shipping,Audio and accessories,Audio
56.68,56.68,Out of Stock,New,0,walmart,Free Expedited Shipping,Audio and accessories,Audio
54.99,54.99,In Stock,New,0,ebay,Free Standard Shipping,Audio and accessories,Audio
89.99,89.99,In Stock,New,1,bestbuy,Free Standard Shipping,Audio and accessories,Audio
77.99,77.99,In Stock,New,1,bestbuy,Free Standard Shipping,Audio and accessories,Audio
53.75,53.75,In Stock,New,0,ebay,Free Standard Shipping,Audio and accessories,Audio
219.99,52.59,In Stock,New,1,walmart,Free Standard Shipping,Audio and accessories,Audio
99.99,99.99,In Stock,New,0,bestbuy,Free Standard Shipping,Audio and accessories,Audio
139.99,139.99,In Stock,Used,0,ebay,Free Standard Shipping,TV and accessories,TV and accessories
353.98,353.98,In Stock,New,0,bestbuy,Free Standard Shipping,TV and accessories,TV and accessories
159.09,159.09,In Stock,New,0,walmart,Free Standard Shipping,Computer and accessories,Computer and accessories
159.99,159.99,In Stock,New,0,bestbuy,Free Standard Shipping,Computer and accessories,Computer and accessories
137.99,137.99,In Stock,New,1,bestbuy,Minimum Order Free Shipping,Computer and accessories,Computer and accessories
159.99,159.99,In Stock,New,0,walmart,Free Expedited Shipping,Computer and accessories,Computer and accessories
159.99,159.99,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,Computer and accessories,Computer and accessories
124.19,124.19,In Stock,New,0,walmart,Free Expedited Shipping,Computer and accessories,Computer and accessories
159.99,125.41,In Stock,New,1,walmart,Free Expedited Shipping,Computer and accessories,Computer and accessories
121.99,121.99,In Stock,New,1,bestbuy,Minimum Order Free Shipping,Computer and accessories,Computer and accessories
299.99,299.99,In Stock,New,0,bestbuy,Minimum Order Free Shipping,Wireless Tech,Wireless Tech
208.99,208.99,In Stock,New,1,bestbuy,Minimum Order Free Shipping,Wireless Tech,Wireless Tech
179.98,179.98,In Stock,New,0,bestbuy,Free Standard Shipping,Audio and accessories,Audio
179.98,179.98,Out of Stock,New,0,bestbuy,Free Standard Shipping,Audio and accessories,Audio
229.98,229.98,In Stock,New,0,bestbuy,Free Standard Shipping,Audio and accessories,Audio
229.98,229.98,In Stock,New,0,bestbuy,Free Standard Shipping,Audio and accessories,Audio
219.99,219.99,Out of Stock,New,0,bestbuy,Free Standard Shipping,Computer and accessories,Computer
209.99,209.99,Out of Stock,New,1,bestbuy,Free Standard Shipping,Computer and accessories,Computer
179.99,179.99,In Stock,New,0,bestbuy,Free Standard Shipping,Computer and accessories,Computer
174.99,174.99,In Stock,New,0,bestbuy,Free Standard Shipping,Computer and accessories,Computer
25.89,25.89,In Stock,New,0,bestbuy,Free Standard Shipping,Computer and accessories,Computer
20.99,20.99,In Stock,New,0,bestbuy,Free Standard Shipping,Computer and accessories,Computer
38.99,38.99,In Stock,New,0,walmart,Free Expedited Shipping,Computer and accessories,Computer
20.99,20.99,In Stock,New,0,bestbuy,Free Standard Shipping,Computer and accessories,Computer
20.99,20.99,In Stock,New,1,bestbuy,Free Standard Shipping,Computer and accessories,Computer
29.99,29.99,In Stock,New,0,walmart,Free Expedited Shipping,Computer and accessories,Computer
49.95,49.95,In Stock,New,0,walmart,Free Expedited Shipping,Electronics,Digital camera and accessories
49.95,49.95,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,Electronics,Digital camera and accessories
39.99,39.99,In Stock,Used,0,ebay,Free Standard Shipping,Electronics,Digital camera and accessories
29.95,29.95,In Stock,New,1,bhphotovideo,Minimum Order Free Shipping,Electronics,Digital camera and accessories
49.95,49.95,In Stock,New,0,ebay,Free Standard Shipping,Electronics,Digital camera and accessories
39.99,39.99,In Stock,New,1,bestbuy,Minimum Order Free Shipping,Electronics,Digital camera and accessories
